TS time deltat Energy E1 E2 E3 Dissipation Trd volume area area_n area_gn area_gp Lat_area Epress E_tension1 E_tension2 E_tension3 Ela_small P_tension1 P_tension2 P_tension3 pressure Zmax stress strain Diss1 Diss2 Diss3
330 0.0263011 0.000275668 0.0911097 0.036426 0.0234614 0.0312222 0.061598 0.00146575 0.0453482 1.49157 1.4517 1.49212 1.49103 1.09021 -0.884735 7.13367 7.12141 5.50678 0 3.9008 4.22474 -1.37244 -20.1369 1 0 0 0.181855 0.0994724 0.0827476
335 0.0277076 0.000289874 0.094624 0.0377337 0.024426 0.0324642 0.0556026 0.00146652 0.0460353 1.49275 1.4517 1.49332 1.49218 1.08984 -0.913323 7.13304 7.12051 5.506 0 3.75466 4.06883 -1.31975 -20.4874 1 0 0 0.188713 0.103908 0.0859692
340 0.0291865 0.000304813 0.0981791 0.0390463 0.0254062 0.0337266 0.0501905 0.0014673 0.0467224 1.49394 1.4517 1.49454 1.49335 1.08947 -0.942405 7.13265 7.11988 5.50516 0 3.61329 3.91776 -1.26877 -20.839 1 0 0 0.195626 0.10844 0.0892311
345 0.0307417 0.000320522 0.101768 0.0403605 0.0264003 0.0350076 0.0453052 0.00146809 0.0474095 1.49514 1.4517 1.49577 1.49453 1.0891 -0.971971 7.13254 7.11955 5.50426 0 3.47662 3.77145 -1.21945 -21.1917 1 0 0 0.202578 0.113062 0.0925278
350 0.032377 0.00033704 0.105385 0.0416728 0.0274063 0.0363055 0.0408952 0.00146888 0.0480966 1.49636 1.4517 1.49702 1.49572 1.08871 -1.00201 7.13271 7.11952 5.50329 0 3.34453 3.62982 -1.17176 -21.5451 1 0 0 0.209554 0.117765 0.0958535
355 0.0340966 0.00035441 0.10902 0.0429793 0.0284221 0.0376184 0.0369144 0.00146969 0.0487837 1.4976 1.4517 1.49828 1.49693 1.08833 -1.03252 7.1332 7.11983 5.50227 0 3.21694 3.49279 -1.12568 -21.8991 1 0 0 0.216534 0.122543 0.0992016
360 0.0359048 0.000372675 0.112665 0.044276 0.0294455 0.038944 0.033321 0.00147051 0.0494708 1.49885 1.4517 1.49956 1.49816 1.08794 -1.06348 7.13401 7.12049 5.50117 0 3.09373 3.36026 -1.08117 -22.2534 1 0 0 0.223501 0.127386 0.102565
365 0.0378062 0.000391881 0.116312 0.0455583 0.0304738 0.0402801 0.0300774 0.00147133 0.0501578 1.50012 1.4517 1.50086 1.4994 1.08755 -1.09488 7.13517 7.12153 5.50001 0 2.97482 3.23214 -1.03819 -22.6076 1 0 0 0.230434 0.132284 0.105937
370 0.0398056 0.000412077 0.11995 0.0468217 0.0315042 0.0416242 0.0271494 0.00147217 0.0508449 1.5014 1.4517 1.50217 1.50065 1.08716 -1.1267 7.13669 7.12296 5.49876 0 2.86008 3.10834 -0.996713 -22.9616 1 0 0 0.237311 0.137225 0.109309
375 0.041908 0.000433313 0.123568 0.0480612 0.0325337 0.0429734 0.0245064 0.00147301 0.051532 1.50269 1.4517 1.50349 1.50192 1.08676 -1.15894 7.13861 7.12481 5.49744 0 2.74942 2.98875 -0.9567 -23.3151 1 0 0 0.244108 0.142198 0.112672
380 0.0441188 0.000455644 0.127155 0.0492714 0.0335589 0.0443249 0.0221207 0.00147387 0.0522191 1.504 1.4517 1.50483 1.5032 1.08636 -1.19156 7.14093 7.12711 5.49604 0 2.64273 2.87327 -0.918116 -23.6676 1 0 0 0.2508 0.147188 0.116018
385 0.0464435 0.000479126 0.130699 0.0504468 0.0345763 0.0456756 0.0199672 0.00147473 0.0529062 1.50533 1.4517 1.50619 1.50449 1.08595 -1.22456 7.14368 7.12987 5.49456 0 2.53989 2.76181 -0.880925 -24.019 1 0 0 0.25736 0.152181 0.119337
390 0.048888 0.000503818 0.134186 0.0515816 0.0355821 0.0470222 0.0180233 0.00147561 0.0535933 1.50667 1.4517 1.50756 1.5058 1.08554 -1.25791 7.14689 7.13312 5.49298 0 2.44081 2.65426 -0.845091 -24.3688 1 0 0 0.26376 0.157161 0.122619
395 0.0514585 0.000529783 0.137603 0.0526696 0.0365722 0.048361 0.0162687 0.00147649 0.0542804 1.50802 1.4517 1.50894 1.50712 1.08513 -1.29159 7.15056 7.13689 5.49131 0 2.34537 2.55052 -0.81058 -24.7166 1 0 0 0.26997 0.16211 0.125853
400 0.0541615 0.000557086 0.140935 0.0537044 0.0375423 0.0496884 0.0146849 0.00147738 0.0549675 1.50939 1.4517 1.51034 1.50845 1.08471 -1.32557 7.15473 7.14118 5.48955 0 2.25346 2.45049 -0.777354 -25.0621 1 0 0 0.275958 0.16701 0.129028
405 0.0570038 0.000585796 0.144168 0.0546795 0.0384877 0.0510004 0.0132553 0.00147829 0.0556546 1.51077 1.4517 1.51176 1.5098 1.08429 -1.35982 7.1594 7.14603 5.48769 0 2.16498 2.35406 -0.745379 -25.4048 1 0 0 0.28169 0.17184 0.132133
410 0.0599925 0.000615985 0.147284 0.0555878 0.0394036 0.0522928 0.0119649 0.0014792 0.0563417 1.51216 1.4517 1.51319 1.51116 1.08387 -1.39432 7.16461 7.15145 5.48573 0 2.07982 2.26113 -0.714619 -25.7443 1 0 0 0.287132 0.17658 0.135155
415 0.0631353 0.00064773 0.150269 0.0564225 0.0402848 0.0535615 0.0108002 0.00148012 0.0570288 1.51357 1.4517 1.51463 1.51254 1.08344 -1.42903 7.17037 7.15748 5.48366 0 1.99788 2.1716 -0.685039 -26.0801 1 0 0 0.292247 0.181207 0.138084
420 0.06644 0.000681112 0.153104 0.0571763 0.0411261 0.0548018 0.00974882 0.00148105 0.0577159 1.515 1.4517 1.51609 1.51393 1.08302 -1.46392 7.1767 7.16411 5.48149 0 1.91905 2.08536 -0.656604 -26.4118 1 0 0 0.296998 0.185697 0.140905
425 0.0699151 0.000716213 0.155773 0.0578418 0.0419218 0.0560091 0.00879987 0.00148198 0.058403 1.51643 1.4517 1.51756 1.51533 1.08258 -1.49894 7.18362 7.17138 5.47921 0 1.84323 2.00232 -0.62928 -26.7387 1 0 0 0.301347 0.190025 0.143606
430 0.0735692 0.000753124 0.158257 0.0584117 0.0426664 0.0571785 0.00794333 0.00148293 0.0590901 1.51788 1.4517 1.51905 1.51674 1.08215 -1.53406 7.19114 7.1793 5.47681 0 1.77031 1.92238 -0.603032 -27.0604 1 0 0 0.305252 0.194165 0.146173
435 0.0774117 0.000791936 0.160538 0.0588787 0.0433537 0.0583053 0.00717022 0.00148389 0.0597772 1.51935 1.4517 1.52055 1.51817 1.08171 -1.56924 7.19927 7.18789 5.4743 0 1.70021 1.84543 -0.577828 -27.3762 1 0 0 0.308674 0.198088 0.148594
440 0.0814522 0.000832749 0.162597 0.0592354 0.0439779 0.0593842 0.0064724 0.00148485 0.0604642 1.52083 1.4517 1.52207 1.51961 1.08126 -1.60442 7.20803 7.19715 5.47168 0 1.63281 1.77139 -0.553633 -27.6856 1 0 0 0.311571 0.201767 0.150855
445 0.0857009 0.000875666 0.164418 0.0594747 0.0445328 0.0604101 0.00584255 0.00148583 0.0611513 1.52232 1.4517 1.5236 1.52107 1.08082 -1.63956 7.21743 7.20709 5.46895 0 1.56804 1.70015 -0.530415 -27.9879 1 0 0 0.313902 0.205173 0.152942
