TS time deltat Energy Dissipation Trd volume area area_n Epress E1 E_tension1 P_tension1 E_elastic pressure Zmax stress strain Diss1 Diss2
280 0.145787 0.0015545 0.00482419 0.00215286 0.000259814 0.0243983 0.796653 0.784623 -0.211444 0.00137976 0 0.44828 0.000287523 -8.94344 1 0 0 0.00154146 0.000207867
285 0.153718 0.00163462 0.00517179 0.00194561 0.000259946 0.024834 0.797081 0.784623 -0.219358 0.00142775 0 0.433622 0.00030825 -9.12066 1 0 0 0.00164721 0.000214671
290 0.162058 0.00171886 0.00553748 0.0017583 0.000260081 0.0252696 0.797518 0.784623 -0.227445 0.00147648 0 0.419308 0.000330057 -9.29918 1 0 0 0.00175768 0.000221546
295 0.170827 0.00180744 0.00592186 0.00158901 0.000260218 0.0257053 0.797961 0.784623 -0.235705 0.00152596 0 0.405342 0.000352978 -9.47899 1 0 0 0.00187292 0.000228488
300 0.180049 0.00190059 0.00632551 0.00143602 0.000260357 0.026141 0.798412 0.784623 -0.244139 0.00157619 0 0.391723 0.00037705 -9.66009 1 0 0 0.00199297 0.000235493
305 0.189746 0.00199854 0.00674903 0.00129775 0.000260498 0.0265767 0.79887 0.784623 -0.25275 0.00162715 0 0.378452 0.000402308 -9.8425 1 0 0 0.00211786 0.000242558
310 0.199943 0.00210153 0.00719302 0.00117279 0.000260642 0.0270124 0.799335 0.784623 -0.261538 0.00167884 0 0.365528 0.000428786 -10.0262 1 0 0 0.00224758 0.000249678
315 0.210665 0.00220984 0.00765808 0.00105986 0.000260787 0.0274481 0.799807 0.784623 -0.270504 0.00173125 0 0.352949 0.000456523 -10.2112 1 0 0 0.00238214 0.000256851
320 0.221939 0.00232372 0.00814482 0.000957792 0.000260935 0.0278838 0.800287 0.784623 -0.279651 0.00178439 0 0.340713 0.000485554 -10.3975 1 0 0 0.00252151 0.000264071
325 0.233795 0.00244348 0.00865386 0.000865552 0.000261085 0.0283194 0.800773 0.784623 -0.288979 0.00183823 0 0.328817 0.000515916 -10.5852 1 0 0 0.00266566 0.000271335
330 0.246262 0.0025694 0.00918583 0.00078219 0.000261237 0.0287551 0.801267 0.784623 -0.29849 0.00189279 0 0.317257 0.000547646 -10.7741 1 0 0 0.00281451 0.000278637
335 0.259371 0.00270182 0.00974136 0.000706853 0.000261392 0.0291908 0.801768 0.784623 -0.308186 0.00194805 0 0.30603 0.000580783 -10.9643 1 0 0 0.002968 0.000285975
340 0.273156 0.00284106 0.0103211 0.000638769 0.000261548 0.0296265 0.802276 0.784623 -0.318067 0.002004 0 0.29513 0.000615363 -11.1559 1 0 0 0.00312602 0.000293341
345 0.287563 0.0029576 0.0109256 0.00058895 0.000261707 0.0300622 0.802791 0.784623 -0.328146 0.00206067 0 0.287429 0.000651424 -11.3492 1 0 0 0.00328862 0.000300741
350 0.302653 0.00311002 0.0115556 0.000532229 0.000261868 0.0304979 0.803313 0.784623 -0.338402 0.00211799 0 0.277067 0.000689007 -11.5433 1 0 0 0.00345564 0.000308159
355 0.31852 0.0032703 0.0122117 0.000480956 0.000262031 0.0309335 0.803842 0.784623 -0.348848 0.00217599 0 0.267022 0.00072815 -11.7388 1 0 0 0.00362677 0.000315591
360 0.335205 0.00343884 0.0128946 0.00043462 0.000262197 0.0313692 0.804378 0.784623 -0.359484 0.00223466 0 0.257287 0.00076889 -11.9356 1 0 0 0.0038018 0.000323032
